HR,WR,HE,WE,Freq
W,W,1,1,3874.731673307717
W,W,1,2,1814.454574517906
W,W,1,3,2820.960650674999
W,W,1,4,667.7277027666569
W,W,1,5,65.40355798602104
W,W,2,1,1430.262057781219
W,W,2,2,1859.976604454219
W,W,2,3,2764.110467672348
W,W,2,4,906.4524786621332
W,W,2,5,68.94634169340134
W,W,3,1,2088.690848618746
W,W,3,2,2342.923141032457
W,W,3,3,9350.672399684787
W,W,3,4,3755.604840874672
W,W,3,5,408.7855959832668
W,W,4,1,514.7720633745193
W,W,4,2,613.9460510015488
W,W,4,3,3488.561479583383
W,W,4,4,5053.810294166207
W,W,4,5,1063.376050204039
W,W,5,1,60.5588526725769
W,W,5,2,44.80258274078369
W,W,5,3,336.9172188639641
W,W,5,4,1191.160762473941
W,W,5,5,1654.500112652779
W,Bl,1,1,3531.86767719686
W,Bl,1,2,1316.684401914477
W,Bl,1,3,1927.179843619466
W,Bl,1,4,513.4707018584013
W,Bl,1,5,20.90589216351509
W,Bl,2,1,1022.808448076248
W,Bl,2,2,870.5226477384567
W,Bl,2,3,1408.796696171165
W,Bl,2,4,424.4803740382195
W,Bl,2,5,30.45607179403305
W,Bl,3,1,1409.087473556399
W,Bl,3,2,1202.000996887684
W,Bl,3,3,4125.346478447318
W,Bl,3,4,1609.3226223737
W,Bl,3,5,80.23035758733749
W,Bl,4,1,307.1653362810612
W,Bl,4,2,293.4645856618881
W,Bl,4,3,1476.736529409885
W,Bl,4,4,1566.996994912624
W,Bl,4,5,160.292582243681
W,Bl,5,1,40.02212980389595
W,Bl,5,2,28.14891555905342
W,Bl,5,3,115.5237545967102
W,Bl,5,4,193.4645685255527
W,Bl,5,5,124.8151683807373
Bl,W,1,1,3954.431842528284
Bl,W,1,2,1529.633999675512
Bl,W,1,3,2272.635344229639
Bl,W,1,4,545.0574193000793
Bl,W,1,5,50.94467383623123
Bl,W,2,1,1118.150623545051
Bl,W,2,2,1014.405603423715
Bl,W,2,3,1612.916766196489
Bl,W,2,4,446.4836523830891
Bl,W,2,5,46.02842536568642
Bl,W,3,1,1597.963404141366
Bl,W,3,2,1345.072402179241
Bl,W,3,3,4916.691445454955
Bl,W,3,4,1845.352464109659
Bl,W,3,5,131.7270477563143
Bl,W,4,1,393.0672522485256
Bl,W,4,2,378.5117675364017
Bl,W,4,3,1871.37335267663
Bl,W,4,4,2044.967620968819
Bl,W,4,5,232.110034018755
Bl,W,5,1,33.02033001184464
Bl,W,5,2,23.19290760159492
Bl,W,5,3,111.9699083566666
Bl,W,5,4,253.2510760128498
Bl,W,5,5,165.389602214098
Bl,Bl,1,1,16064.32895805687
Bl,Bl,1,2,4700.073956057429
Bl,Bl,1,3,6525.301875703037
Bl,Bl,1,4,1440.038943082094
Bl,Bl,1,5,85.41821518540382
Bl,Bl,2,1,3515.609557107091
Bl,Bl,2,2,2441.305816680193
Bl,Bl,2,3,3791.735197067261
Bl,Bl,2,4,1107.088386461139
Bl,Bl,2,5,71.14936470985413
Bl,Bl,3,1,4300.002383336425
Bl,Bl,3,2,3130.692152917385
Bl,Bl,3,3,10408.74090372771
Bl,Bl,3,4,3686.290578767657
Bl,Bl,3,5,168.5454293489456
Bl,Bl,4,1,893.7385573983192
Bl,Bl,4,2,709.869175106287
Bl,Bl,4,3,3450.954064145684
Bl,Bl,4,4,3562.65865162015
Bl,Bl,4,5,202.5641146302223
Bl,Bl,5,1,79.86735838651657
Bl,Bl,5,2,36.09697407484055
Bl,Bl,5,3,169.7952999472618
Bl,Bl,5,4,313.4320968985558
Bl,Bl,5,5,129.5131053030491
