HR,WR,HE,WE,Freq
W,W,1,1,5354.450780056417
W,W,1,2,3884.810841977596
W,W,1,3,4132.146163612604
W,W,1,4,1791.962160751224
W,W,1,5,245.1697969138622
W,W,2,1,2639.052159771323
W,W,2,2,6810.457001179457
W,W,2,3,6385.425957247615
W,W,2,4,2934.211718201637
W,W,2,5,317.1852509304881
W,W,3,1,2964.860554352403
W,W,3,2,5650.134250469506
W,W,3,3,20515.86762898415
W,W,3,4,13425.81539219618
W,W,3,5,1989.499990180135
W,W,4,1,1002.959855102003
W,W,4,2,1785.68820951879
W,W,4,3,10059.51019948721
W,W,4,4,25983.61614088714
W,W,4,5,7341.027096778154
W,W,5,1,150.9714941680431
W,W,5,2,145.6369668841362
W,W,5,3,978.0453425496817
W,W,5,4,7247.032994583249
W,W,5,5,13982.16251966357
W,Bl,1,1,3021.165905036032
W,Bl,1,2,1587.150427550077
W,Bl,1,3,1932.310517117381
W,Bl,1,4,747.5185832977295
W,Bl,1,5,63.39543187618256
W,Bl,2,1,977.7274713665247
W,Bl,2,2,1424.986778199673
W,Bl,2,3,1839.80372454226
W,Bl,2,4,1022.923733204603
W,Bl,2,5,69.69430074095726
W,Bl,3,1,1112.364794626832
W,Bl,3,2,1477.177331984043
W,Bl,3,3,5392.677130013704
W,Bl,3,4,3642.051635503769
W,Bl,3,5,323.20658826828
W,Bl,4,1,301.1487388014793
W,Bl,4,2,388.7647481560707
W,Bl,4,3,2244.252426967025
W,Bl,4,4,5117.529953181744
W,Bl,4,5,943.8314879536629
W,Bl,5,1,22.68613177537918
W,Bl,5,2,26.86112612485886
W,Bl,5,3,167.8106081187725
W,Bl,5,4,796.8766135573387
W,Bl,5,5,817.6657644808292
Bl,W,1,1,3696.51731325686
Bl,W,1,2,2085.034949444234
Bl,W,1,3,2346.764828592539
Bl,W,1,4,924.7911529690027
Bl,W,1,5,83.64562124013901
Bl,W,2,1,1214.465645641088
Bl,W,2,2,1943.693453066051
Bl,W,2,3,2150.326369449496
Bl,W,2,4,1072.24219456315
Bl,W,2,5,83.47922787070274
Bl,W,3,1,1351.105969905853
Bl,W,3,2,1822.473743312061
Bl,W,3,3,6696.269197247922
Bl,W,3,4,4222.975588068366
Bl,W,3,5,363.2540918588638
Bl,W,4,1,420.3672329485416
Bl,W,4,2,557.1011427342892
Bl,W,4,3,3300.099333226681
Bl,W,4,4,6735.830917984247
Bl,W,4,5,1107.63276655972
Bl,W,5,1,39.6986235678196
Bl,W,5,2,41.38951879739761
Bl,W,5,3,219.7367013394833
Bl,W,5,4,1124.762088626623
Bl,W,5,5,1144.465462744236
Bl,Bl,1,1,12834.80102915317
Bl,Bl,1,2,5481.518354326487
Bl,Bl,1,3,5546.157844997942
Bl,Bl,1,4,2137.495856881142
Bl,Bl,1,5,129.8995207250118
Bl,Bl,2,1,2894.463382668793
Bl,Bl,2,2,3410.272006325424
Bl,Bl,2,3,4172.61356896162
Bl,Bl,2,4,2057.753422871232
Bl,Bl,2,5,107.0227333605289
Bl,Bl,3,1,2764.311252608895
Bl,Bl,3,2,2994.570301115513
Bl,Bl,3,3,11199.50232365727
Bl,Bl,3,4,6699.584606647491
Bl,Bl,3,5,457.9351019561291
Bl,Bl,4,1,726.899248868227
Bl,Bl,4,2,777.5563353002071
Bl,Bl,4,3,4457.022008419037
Bl,Bl,4,4,9267.689589112997
Bl,Bl,4,5,1129.187640279531
Bl,Bl,5,1,47.68899962306023
Bl,Bl,5,2,45.02607014775276
Bl,Bl,5,3,261.033889323473
Bl,Bl,5,4,1017.209091864526
Bl,Bl,5,5,869.3037873804569
