HR,WR,HE,WE,Freq
W,W,1,1,3874.731673307717
W,W,1,2,1814.454574517906
W,W,1,3,2820.960650674999
W,W,1,4,667.7277027666569
W,W,1,5,65.40355798602104
W,W,2,1,1430.262057781219
W,W,2,2,1859.976604454219
W,W,2,3,2764.110467672348
W,W,2,4,906.4524786621332
W,W,2,5,68.94634169340134
W,W,3,1,2088.690848618746
W,W,3,2,2342.923141032457
W,W,3,3,9350.672399684787
W,W,3,4,3755.604840874672
W,W,3,5,408.7855959832668
W,W,4,1,514.7720633745193
W,W,4,2,613.9460510015488
W,W,4,3,3488.561479583383
W,W,4,4,5053.810294166207
W,W,4,5,1063.376050204039
W,W,5,1,60.5588526725769
W,W,5,2,44.80258274078369
W,W,5,3,336.9172188639641
W,W,5,4,1191.160762473941
W,W,5,5,1654.500112652779
W,Br,1,1,2922.145425766706
W,Br,1,2,1087.252911016345
W,Br,1,3,1586.766449123621
W,Br,1,4,448.2130015045404
W,Br,1,5,16.44054710865021
W,Br,2,1,854.4725935012102
W,Br,2,2,739.1622761487961
W,Br,2,3,1182.071855604649
W,Br,2,4,363.646895647049
W,Br,2,5,26.99031183123589
W,Br,3,1,1148.642666175961
W,Br,3,2,1019.155603051186
W,Br,3,3,3524.550365626812
W,Br,3,4,1385.730468556285
W,Br,3,5,71.93279469013214
W,Br,4,1,243.4648348987103
W,Br,4,2,271.2540564835072
W,Br,4,3,1295.134219139814
W,Br,4,4,1394.550262987614
W,Br,4,5,134.0200726091862
W,Br,5,1,36.78201571106911
W,Br,5,2,25.01558223366737
W,Br,5,3,102.3182936310768
W,Br,5,4,179.1497015655041
W,Br,5,5,109.9880154728889
W,Bl,1,1,609.7222514301538
W,Bl,1,2,229.4314908981323
W,Bl,1,3,340.4133944958448
W,Bl,1,4,65.25770035386086
W,Bl,1,5,4.465345054864883
W,Bl,2,1,168.335854575038
W,Bl,2,2,131.3603715896606
W,Bl,2,3,226.7248405665159
W,Bl,2,4,60.8334783911705
W,Bl,2,5,3.465759962797165
W,Bl,3,1,260.4448073804379
W,Bl,3,2,182.8453938364983
W,Bl,3,3,600.7961128205061
W,Bl,3,4,223.5921538174152
W,Bl,3,5,8.297562897205353
W,Bl,4,1,63.70050138235092
W,Bl,4,2,22.21052917838097
W,Bl,4,3,181.602310270071
W,Bl,4,4,172.4467319250107
W,Bl,4,5,26.27250963449478
W,Bl,5,1,3.240114092826843
W,Bl,5,2,3.133333325386047
W,Bl,5,3,13.20546096563339
W,Bl,5,4,14.31486696004868
W,Bl,5,5,14.82715290784836
Br,W,1,1,3203.521520189941
Br,W,1,2,1293.82142148912
Br,W,1,3,1888.2854789868
Br,W,1,4,456.1353845894337
Br,W,1,5,43.27155834436417
Br,W,2,1,901.848403096199
Br,W,2,2,834.3212043792009
Br,W,2,3,1332.23584254086
Br,W,2,4,379.5590798258781
Br,W,2,5,37.22120532393456
Br,W,3,1,1294.734619006515
Br,W,3,2,1084.493722349405
Br,W,3,3,4059.20183005929
Br,W,3,4,1547.511520594358
Br,W,3,5,113.3246433883905
Br,W,4,1,320.8042947202921
Br,W,4,2,312.0652610659599
Br,W,4,3,1537.859788060188
Br,W,4,4,1693.923168033361
Br,W,4,5,191.1359643638134
Br,W,5,1,26.06475824117661
Br,W,5,2,16.74549347162247
Br,W,5,3,84.19484901428223
Br,W,5,4,201.441742092371
Br,W,5,5,142.0021867156029
Br,Br,1,1,12478.05043330044
Br,Br,1,2,3737.795109696686
Br,Br,1,3,5143.77779661864
Br,Br,1,4,1137.111012160778
Br,Br,1,5,60.70751491189003
Br,Br,2,1,2746.262840092182
Br,Br,2,2,1879.485183626413
Br,Br,2,3,2994.437729254365
Br,Br,2,4,859.0807760953903
Br,Br,2,5,50.78792586922646
Br,Br,3,1,3274.781820505857
Br,Br,3,2,2446.817359298468
Br,Br,3,3,8182.109561629593
Br,Br,3,4,2909.85621547699
Br,Br,3,5,137.9323270320892
Br,Br,4,1,717.6903864145279
Br,Br,4,2,578.2111542224884
Br,Br,4,3,2726.517938390374
Br,Br,4,4,2768.30132253468
Br,Br,4,5,163.711267799139
Br,Br,5,1,65.85803163051605
Br,Br,5,2,27.2198686003685
Br,Br,5,3,131.2263876795769
Br,Br,5,4,233.9315204024315
Br,Br,5,5,103.0877697169781
Br,Bl,1,1,918.4052110165358
Br,Bl,1,2,246.2810024544597
Br,Bl,1,3,362.2495758533478
Br,Bl,1,4,74.7448458969593
Br,Bl,1,5,7.336219787597656
Br,Bl,2,1,179.731366455555
Br,Bl,2,2,115.3343801051378
Br,Bl,2,3,183.9782997071743
Br,Bl,2,4,66.47676265239716
Br,Bl,2,5,4.87582528591156
Br,Bl,3,1,237.759787067771
Br,Bl,3,2,150.4389861524105
Br,Bl,3,3,497.7676438093185
Br,Bl,3,4,180.8160505592823
Br,Bl,3,5,4.65690666437149
Br,Bl,4,1,30.43471372127533
Br,Bl,4,2,26.76350772380829
Br,Bl,4,3,143.1670409739017
Br,Bl,4,4,153.123612344265
Br,Bl,4,5,12.52746438980103
Br,Bl,5,1,3.757921934127808
Br,Bl,5,2,2.083174824714661
Br,Bl,5,3,10.4005024433136
Br,Bl,5,4,9.670221328735352
Br,Bl,5,5,1.423990607261658
Bl,W,1,1,750.9103223383427
Bl,W,1,2,235.8125781863928
Bl,W,1,3,384.3498652428389
Bl,W,1,4,88.92203471064568
Bl,W,1,5,7.673115491867065
Bl,W,2,1,216.3022204488516
Bl,W,2,2,180.0843990445137
Bl,W,2,3,280.6809236556292
Bl,W,2,4,66.92457255721092
Bl,W,2,5,8.807220041751862
Bl,W,3,1,303.2287851348519
Bl,W,3,2,260.5786798298359
Bl,W,3,3,857.4896153956652
Bl,W,3,4,297.8409435153008
Bl,W,3,5,18.40240436792374
Bl,W,4,1,72.26295752823353
Bl,W,4,2,66.44650647044182
Bl,W,4,3,333.5135646164417
Bl,W,4,4,351.0444529354572
Bl,W,4,5,40.97406965494156
Bl,W,5,1,6.95557177066803
Bl,W,5,2,6.447414129972458
Bl,W,5,3,27.77505934238434
Bl,W,5,4,51.80933392047882
Bl,W,5,5,23.3874154984951
Bl,Br,1,1,1215.483401268721
Bl,Br,1,2,352.0342760980129
Bl,Br,1,3,505.0528860241175
Bl,Br,1,4,106.2052774131298
Bl,Br,1,5,8.710307061672211
Bl,Br,2,1,284.0726590305567
Bl,Br,2,2,200.2081727981567
Bl,Br,2,3,302.8124474585056
Bl,Br,2,4,92.91818718612194
Bl,Br,2,5,10.45486301183701
Bl,Br,3,1,367.6048888713121
Bl,Br,3,2,257.0302954614162
Bl,Br,3,3,838.1213508099318
Bl,Br,3,4,316.7524355053902
Bl,Br,3,5,7.377348721027374
Bl,Br,4,1,69.38627859950066
Bl,Br,4,2,61.32718777656555
Bl,Br,4,3,277.2619630694389
Bl,Br,4,4,341.0599533170462
Bl,Br,4,5,10.77554029226303
Bl,Br,5,1,6.014863789081573
Bl,Br,5,2,4.448649883270264
Bl,Br,5,3,12.08104205131531
Bl,Br,5,4,37.60305851697922
Bl,Br,5,5,10.46513068675995
Bl,Bl,1,1,1452.389912471175
Bl,Bl,1,2,363.9635678082705
Bl,Bl,1,3,514.2216172069311
Bl,Bl,1,4,121.977807611227
Bl,Bl,1,5,8.664173424243927
Bl,Bl,2,1,305.5426915287971
Bl,Bl,2,2,246.278080150485
Bl,Bl,2,3,310.5067206472158
Bl,Bl,2,4,88.61266052722931
Bl,Bl,2,5,5.030750542879105
Bl,Bl,3,1,419.8558868914843
Bl,Bl,3,2,276.4055120050907
Bl,Bl,3,3,890.7423474788666
Bl,Bl,3,4,278.8658772259951
Bl,Bl,3,5,18.57884693145752
Bl,Bl,4,1,76.22717866301537
Bl,Bl,4,2,43.56732538342476
Bl,Bl,4,3,304.0071217119694
Bl,Bl,4,4,300.1737634241581
Bl,Bl,4,5,15.54984214901924
Bl,Bl,5,1,4.236541032791138
Bl,Bl,5,2,2.345280766487122
Bl,Bl,5,3,16.08736777305603
Bl,Bl,5,4,32.2272966504097
Bl,Bl,5,5,14.53621429204941
