HR,WR,HE,WE,Freq
W,W,1,1,5354.450780056417
W,W,1,2,3884.810841977596
W,W,1,3,4132.146163612604
W,W,1,4,1791.962160751224
W,W,1,5,245.1697969138622
W,W,2,1,2639.052159771323
W,W,2,2,6810.457001179457
W,W,2,3,6385.425957247615
W,W,2,4,2934.211718201637
W,W,2,5,317.1852509304881
W,W,3,1,2964.860554352403
W,W,3,2,5650.134250469506
W,W,3,3,20515.86762898415
W,W,3,4,13425.81539219618
W,W,3,5,1989.499990180135
W,W,4,1,1002.959855102003
W,W,4,2,1785.68820951879
W,W,4,3,10059.51019948721
W,W,4,4,25983.61614088714
W,W,4,5,7341.027096778154
W,W,5,1,150.9714941680431
W,W,5,2,145.6369668841362
W,W,5,3,978.0453425496817
W,W,5,4,7247.032994583249
W,W,5,5,13982.16251966357
W,Br,1,1,2608.20515280962
W,Br,1,2,1374.698266655207
W,Br,1,3,1663.425990089774
W,Br,1,4,648.2247495353222
W,Br,1,5,55.21446448564529
W,Br,2,1,865.7534756362438
W,Br,2,2,1264.073148548603
W,Br,2,3,1621.04754935205
W,Br,2,4,883.8802610039711
W,Br,2,5,57.44559589028358
W,Br,3,1,971.6976543366909
W,Br,3,2,1299.469145864248
W,Br,3,3,4733.650931566954
W,Br,3,4,3251.781255722046
W,Br,3,5,278.5874753296375
W,Br,4,1,276.1520335674286
W,Br,4,2,360.6283469498158
W,Br,4,3,2034.535910025239
W,Br,4,4,4689.032531499863
W,Br,4,5,843.364466458559
W,Br,5,1,19.80715364217758
W,Br,5,2,25.5914551615715
W,Br,5,3,156.0052681267262
W,Br,5,4,719.3714789748192
W,Br,5,5,756.9492457807064
W,Bl,1,1,412.9607522264123
W,Bl,1,2,212.4521608948708
W,Bl,1,3,268.884527027607
W,Bl,1,4,99.2938337624073
W,Bl,1,5,8.180967390537262
W,Bl,2,1,111.9739957302809
W,Bl,2,2,160.9136296510696
W,Bl,2,3,218.7561751902103
W,Bl,2,4,139.0434722006321
W,Bl,2,5,12.24870485067368
W,Bl,3,1,140.6671402901411
W,Bl,3,2,177.7081861197948
W,Bl,3,3,659.0261984467506
W,Bl,3,4,390.270379781723
W,Bl,3,5,44.6191129386425
